"Product ID","Product SKU","Product Name","Product Categories","Line Item Quantity"
6874,VB0411,"ชะอม(กำใหญ่) (100 กรัม) Acacia",ผัก,15
7060,VB0972,"ตะไคร้ (200 กรัม) Lemon Grass",ผัก,25
6944,VB1211,"ตำลึง (100 กรัม) Ivy Gound",ผัก,10
7405,VB0160,"ถั่วฝักยาว (1000 กรัม) Yard Long Bean",ผัก,2
6868,VB0351,"ผักชีฝรั่ง (100 กรัม) Parsley",ผัก,10
6888,VB0551,"ถั่วพู (100 กรัม) Winged Bean",ผัก,10
6971,VB0052,"ผักบุ้งจีน (200 กรัม) Chinese Convolvulus",ผัก,10
6996,VB0322,"ผักบุ้งไทย (200 กรัม) Thai Morning Glory",ผัก,5
6937,VB1131,"ผักหวานป่า (100 กรัม) Phak-Wan",ผัก,10
6942,VB1191,"ฝักกระถินอ่อน (100 กรัม) Leucaena",ผัก,1
6911,VB0831,"มะเขือไข่เต่า (100 กรัม) Eggplant",ผัก,10
7511,VB1240,"ลิ้นฟ้า (1000 กรัม) Oroxylum indicum",ผัก,1
6901,VB0711,"ใบมะกรูด (100 กรัม) Leech Lime Leaf",ผัก,10
6843,VB0071,"ใบแมงลัก (100 กรัม) Hairy Basil Leaf",ผัก,10
6844,VB0081,"ใบโหระพา (100 กรัม) Sweet Basil",ผัก,20
6955,VB1321,"ดอกขจร/Cowslip creeper (100 กรัม) Cowslip creepe",ผัก,10
7530,VB1440,"ถั่วปี่ (1000 กรัม) Cow-pea",ผัก,1
6957,VB1361,"ผักแพว (100 กรัม) Vietnamese coriander",ผัก,10
8002,DTF0780,"ข้าวหลามมะพร้าวอ่อน (250 กรัม)",ขนม,30
8578,DTF1500,"บ้าบิ่น รังผึ้งมะพร้าวน้ำหอม (300 กรัม)",ขนม,25
8777,DTF1651,"กล้วยฉาบ แม่แดง (125 กรัม)",ขนม,10
7687,DTF0800,"ปัง 85 (350 กรัม)",ขนม,54
